datetime,ac_power,dc_power,ambient_temp,module_temp,irradiation,irradiation_wm2,sw radiation,temp 2m,cloud cover
2020-05-15 00:00:00,0.0,0.0,25.01269695,22.64308323333333,0.0,0.0,0.0,27.4,8
2020-05-15 01:00:00,0.0,0.0,24.66732843928571,22.41195959404762,0.0,0.0,0.0,27.5,7
2020-05-15 02:00:00,0.0,0.0,24.98683673333333,23.51207183333333,0.0,0.0,0.0,27.5,9
2020-05-15 03:00:00,0.0,0.0,24.954589040476183,24.126433492857142,0.0,0.0,0.0,27.4,6
2020-05-15 04:00:00,0.0,0.0,24.27666985,22.133106,0.0,0.0,0.0,27.4,7
2020-05-15 05:00:00,0.0,0.0,24.27498305,23.02011823452381,0.0002156803103333,0.21568031033329998,10.0,27.4,3
2020-05-15 06:00:00,1238.727678577,12745.4985121575,24.07395065,22.9739853,0.0432431855299999,43.2431855299999,110.0,28.5,8
2020-05-15 07:00:00,4262.353630924999,43481.326785,24.889582025,28.806721364285718,0.1475614228285713,147.5614228285713,285.0,29.7,15
2020-05-15 08:00:00,9110.83610115,92851.747618,26.160301766666667,36.58531696666666,0.3162804106666665,316.2804106666665,503.0,30.9,1
2020-05-15 09:00:00,12302.17366075,125579.29910725,27.64404185119048,42.92346050833333,0.4396227654285715,439.6227654285715,682.0,32.1,2
2020-05-15 10:00:00,14292.24223215,145992.3866065,28.90181376666667,48.36988061666666,0.5150172215,515.0172215,818.0,33.0,0
2020-05-15 11:00:00,16557.2865473,169286.6547595,30.18125093809524,48.84254719285714,0.5618510868928571,561.8510868928571,891.0,33.8,0
2020-05-15 12:00:00,18885.107737825,193173.7083375,31.83794448333333,50.50314281666666,0.6783298891666667,678.3298891666667,894.0,34.4,0
2020-05-15 13:00:00,15327.5660715,156531.74107175,32.58073820119048,47.70216902857143,0.5102064738571428,510.2064738571428,828.0,34.4,0
2020-05-15 14:00:00,19202.96598215,196467.3654795,33.917765453571434,51.74296217738095,0.6594180685952381,659.4180685952381,703.0,33.8,0
2020-05-15 15:00:00,13380.3696428,136588.25,34.19202876666667,45.24501753333333,0.4394019456666665,439.4019456666665,529.0,32.8,1
2020-05-15 16:00:00,9580.4733631,97617.625,34.18140343333333,41.25998796666666,0.3230948608333333,323.09486083333326,325.0,31.7,38
2020-05-15 17:00:00,3357.5050595375,34318.1279765,33.02189040952381,34.64146269404762,0.1165690755904761,116.5690755904761,106.0,30.7,17
2020-05-15 18:00:00,210.13214285875,2176.0544642775,29.18877659404762,28.0389443,0.0083839764531428,8.3839764531428,14.0,29.8,5
2020-05-15 19:00:00,0.0,0.0,26.3398656,24.710708200000003,5.6400666e-05,0.056400665999999995,0.0,29.3,10
2020-05-15 20:00:00,0.0,0.0,22.60343674404762,20.428886111904763,0.0,0.0,0.0,28.9,18
2020-05-15 21:00:00,0.0,0.0,22.186489316666663,20.73911748333333,0.0,0.0,0.0,28.5,4
2020-05-15 22:00:00,0.0,0.0,22.13324119047619,20.88250438214285,0.0,0.0,0.0,28.3,1
2020-05-15 23:00:00,0.0,0.0,22.23601830769231,21.241316538461536,0.0,0.0,0.0,28.1,1
2020-05-16 00:00:00,0.0,0.0,22.022117782905983,20.7616201534188,0.0,0.0,0.0,28.1,3
2020-05-16 01:00:00,0.0,0.0,21.808217258119655,20.281923768376068,0.0,0.0,0.0,28.0,4
